artist	artistId	album	albumId	date	song	songId
Regina Spektor	3z6Gk257P9jNcZbBXJNX5i	Soviet Kitsch (U.S. Version)	0HeAK5QnrTRrksc2WuTYgy	2004-08-17	Ode to Divorce	0HmW0usB04O7n1Hj85gEBx
Regina Spektor	3z6Gk257P9jNcZbBXJNX5i	Soviet Kitsch (U.S. Version)	0HeAK5QnrTRrksc2WuTYgy	2004-08-17	Poor Little Rich Boy	06hmuCqeWMhJKY804fNodU
Regina Spektor	3z6Gk257P9jNcZbBXJNX5i	Soviet Kitsch (U.S. Version)	0HeAK5QnrTRrksc2WuTYgy	2004-08-17	Carbon Monoxide - Alt Mix	6GJbAQ5zOYmKpnZWLQGyjd
Regina Spektor	3z6Gk257P9jNcZbBXJNX5i	Soviet Kitsch (U.S. Version)	0HeAK5QnrTRrksc2WuTYgy	2004-08-17	The Flowers	4fbHQuPWhUTcAS7vGMHQ1j
Regina Spektor	3z6Gk257P9jNcZbBXJNX5i	Soviet Kitsch (U.S. Version)	0HeAK5QnrTRrksc2WuTYgy	2004-08-17	Us	6zJms3MX11Qu1IKF44LoRW
Regina Spektor	3z6Gk257P9jNcZbBXJNX5i	Soviet Kitsch (U.S. Version)	0HeAK5QnrTRrksc2WuTYgy	2004-08-17	Sailor Song	787gq4ruJ7dvxxv1gijJtV
Regina Spektor	3z6Gk257P9jNcZbBXJNX5i	Soviet Kitsch (U.S. Version)	0HeAK5QnrTRrksc2WuTYgy	2004-08-17	Whisper	0L6HA9HB8ufRnrYHnhp8Os
Regina Spektor	3z6Gk257P9jNcZbBXJNX5i	Soviet Kitsch (U.S. Version)	0HeAK5QnrTRrksc2WuTYgy	2004-08-17	Your Honor (feat. Kill Kenada)	1ZUjHBqo1DYXy0FOJksYVB
Regina Spektor	3z6Gk257P9jNcZbBXJNX5i	Soviet Kitsch (U.S. Version)	0HeAK5QnrTRrksc2WuTYgy	2004-08-17	Ghost of Corporate Future	0vKJflSON3fgb7kNr6vSaH
Regina Spektor	3z6Gk257P9jNcZbBXJNX5i	Soviet Kitsch (U.S. Version)	0HeAK5QnrTRrksc2WuTYgy	2004-08-17	Chemo Limo	2ax0m8ZcOI2FLt3xlJbgSZ
Regina Spektor	3z6Gk257P9jNcZbBXJNX5i	Soviet Kitsch (U.S. Version)	0HeAK5QnrTRrksc2WuTYgy	2004-08-17	Somedays	1VrCD1NPFFHUBk6Lew0Kkz